"Sponsor IRN","Sponsor Name","School IRN","School Name","First Year of Operation","School County","School Type 1","School Type 2","School Type 3","Percent Minority","Percent Economically Disadvantaged","Percent Student with Disabilities","Percent Limited English Proficient","2012 4 Year Graduation Rate","4 Year Graduation Rating","2012 5 Year Graduation Rate  ","5 Year Graduation Rating","6 Year Graduation Rate  ","6 Year Graduation Rating","7 Year Graduation Rate","7 Year Graduation Rating","8 Year Graduation Rate","8 Year Graduation Rating","2013 Assessment Passage Rate","Assessment Passage Rating","2013 Annual Measurable Objectives Points","Annual Measurable Objectives Rating","Growth Rate","Growth Rating","Student Outcomes","Overall Rating","Report Card Link"
"000662","Ohio Council of Community Schools                           ","000525","Project Rebuild Community School                            ","FY05","Stark                         ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.28456627863312073","0.895080736012017","0.268268869695832","0.0","47.8","Coming in 2014","35.7","Coming in 2014","33.3","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","68.8","Coming in 2014","71.9","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"000662","Ohio Council of Community Schools                           ","008063","Life Skills Center of North Akron                           ","FY06","Summit                        ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.4667647655774308","0.744063324538259","0.288613760909275","0.0","6.1","Coming in 2014","5.4","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","1.7","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"000662","Ohio Council of Community Schools                           ","133785","Life Skills Ctr Of Cincinnati                               ","FY00","Hamilton                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.9541037735849057","0.861603773584906","0.314811320754717","0.0","2.4","Coming in 2014","7.2","Coming in 2014","7.2","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"000662","Ohio Council of Community Schools                           ","133801","Life Skills Ctr Of Youngstown                               ","FY00","Mahoning                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.7357143739271109","0.850184629444383","0.174873105850098","0.0","4.7","Coming in 2014","6.6","Coming in 2014","10.9","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","38.1","Coming in 2014","41.4","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"000662","Ohio Council of Community Schools                           ","143164","Life Skills Center Of Hamilton County                       ","FY03","Hamilton                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8896551724137932","0.868258178603006","0.483348069554966","0.0","7.6","Coming in 2014","9.5","Coming in 2014","13.9","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","42.1","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"000662","Ohio Council of Community Schools                           ","149302","Life Skills Center Of Toledo                                ","FY03","Lucas                         ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8545934276804992","0.936963300551691","0.3458383305349","0.0","2.0","Coming in 2014","3.4","Coming in 2014","4.4","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","63.6","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"000862","Buckeye Community Hope Foundation                           ","011507","Achieve Career Preparatory Academy                          ","FY10","Lucas                         ","Startup","Site Based","Dropout Recovery 2","0.9418576514915828","0.997718552317744","0.337792526530471","0.0","13.8","Coming in 2014","14.3","Coming in 2014","41.7","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","25.7","Coming in 2014","16.4","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"000862","Buckeye Community Hope Foundation                           ","012528","The Academy for Urban Scholars                              ","FY12","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.9383010287215153","0.878036917240205","0.20642525353243","0.0","4.3","Coming in 2014","3.5","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","15.6","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"000862","Buckeye Community Hope Foundation                           ","012529","Focus North High School                                     ","FY12","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8776455397743218","0.850979621624656","0.16128670072419","0.164683096614832","25.4","Coming in 2014","13.0","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","60.0","Coming in 2014","36.4","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"000862","Buckeye Community Hope Foundation                           ","132985","Youthbuild Columbus Community                               ","FY02","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.9472101223812486","0.988565650280025","0.178878863306368","0.0","7.7","Coming in 2014","10.9","Coming in 2014","23.1","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","19.3","Coming in 2014","28.3","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"000862","Buckeye Community Hope Foundation                           ","142927","Focus Learning Academy of Southwest Columbus                ","FY03","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.45031037062498785","0.9054936611602","0.144367834684676","0.0","11.9","Coming in 2014","14.8","Coming in 2014","10.7","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","37.5","Coming in 2014","41.1","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"000862","Buckeye Community Hope Foundation                           ","142935","Focus Learning Academy of Southeastern Columbus             ","FY03","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8754123762871143","0.876337098870339","0.165750274917525","0.0","13.8","Coming in 2014","10.5","Coming in 2014","7.9","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","45.5","Coming in 2014","18.4","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"007991","Educational Resource Consultants of Ohio                    ","000527","Cleveland Academy for Scholarship Technology and Leadership ","FY05","Cuyahoga                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.995529616292065","0.795330932571712","0.209511983111884","0.0","29.3","Coming in 2014","34.4","Coming in 2014","33.3","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","30.8","Coming in 2014","50.1","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"007991","Educational Resource Consultants of Ohio                    ","012036","Thurgood Marshall High School                               ","FY11","Cuyahoga                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.7414321131690248","0.375382820475427","0.0977103689660201","0.0","3.0","Coming in 2014","5.9","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"007991","Educational Resource Consultants of Ohio                    ","012037","New Beginnings Academy                                      ","FY11","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.84141627130557","0.990994552802671","NR","NR","5.0","Coming in 2014","0.0","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","24.0","Coming in 2014","28.3","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"007991","Educational Resource Consultants of Ohio                    ","012038","Langston Hughes High School                                 ","FY11","Cuyahoga                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","1.0","0.926743963204293","0.124664622460713","0.0","4.4","Coming in 2014","17.2","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","26.9","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"007991","Educational Resource Consultants of Ohio                    ","012040","Road to Success Academy                                     ","FY11","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.9662420649934839","0.962248286879388","0.162105351662673","NR","24.0","Coming in 2014","14.3","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","NR","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"007991","Educational Resource Consultants of Ohio                    ","012041","The Arch Academy                                            ","FY11","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.7645109619934383","0.894727423320793","0.121855524087658","0.0","8.3","Coming in 2014","6.3","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","NR","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"007991","Educational Resource Consultants of Ohio                    ","012042","George V. Voinovich Reclamation Academy                     ","FY11","Cuyahoga                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.9963376155059726","0.998704079332883","NR","0.0","0.0","Coming in 2014","9.6","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","32.3","Coming in 2014","20.3","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"007991","Educational Resource Consultants of Ohio                    ","012043","Frederick Douglass Reclamation Academy                      ","FY11","Cuyahoga                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8244632252169937","0.904408405664687","NR","0.0","11.1","Coming in 2014","13.0","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"007991","Educational Resource Consultants of Ohio                    ","012044","Capital High School                                         ","FY11","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.583983686622023","0.885932228991491","0.159231660037259","0.0","NC","Coming in 2014","20.0","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","37.9","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"008303","Kids Count of Dayton, Inc.                                  ","000445","General Chappie James Leadership Academy                    ","FY05","Montgomery                    ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.926615776081425","0.67852417302799","NR","0.0","25.0","Coming in 2014","20.0","Coming in 2014","20.5","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","16.7","Coming in 2014","NR","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"008303","Kids Count of Dayton, Inc.                                  ","133264","Dohn Community                                              ","FY02","Hamilton                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.9934361389376841","0.837304741621799","0.212543392801508","0.0","38.4","Coming in 2014","43.7","Coming in 2014","29.4","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","44.4","Coming in 2014","33.4","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"043489","Akron City","149054","Akron Digital Academy                                       ","FY03","Summit                        ","Startup                                                                                                                                                                                                                                                        ","Virtual School","Dropout Recovery 2","0.5830109561507442","0.804572355425722","0.245853671119313","0.0","18.3","Coming in 2014","26.9","Coming in 2014","33.6","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","66.0","Coming in 2014","6.8","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"043752","Cincinnati City                                             ","133389","Lighthouse Community Sch Inc                                ","FY01","Hamilton                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2 & Special Education","0.8428331153055503","1.0","0.694823397495795","0.0","35.5","Coming in 2014","26.9","Coming in 2014","40.0","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"043786","Cleveland Municipal                                         ","000936","Promise Academy                                             ","FY07","Cuyahoga                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.9714018224940706","0.590725252777431","0.208375983023343","0.0","3.3","Coming in 2014","7.0","Coming in 2014","7.2","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","50.0","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"043828","Coshocton City                                              ","000598","Coshocton Opportunity School                                ","FY07","Coshocton                     ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1","NR","0.762525719027131","0.42110760819892","0.0","66.7","Coming in 2014","66.0","Coming in 2014","80.0","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","57.7","Coming in 2014","49.3","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"043836","Cuyahoga Falls City                                         ","147231","Schnee Learning Center                                      ","FY06","Summit                        ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1","0.12953726794125758","0.363327791632031","0.244527569963979","0.0","65.4","Coming in 2014","75.8","Coming in 2014","66.7","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","85.3","Coming in 2014","66.7","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"043844","Dayton City                                                 ","008283","Dayton Technology Design High School                        ","FY07","Montgomery                    ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1 & 2","0.943422459893048","0.968413547237077","NR","0.0","61.3","Coming in 2014","63.4","Coming in 2014","67.7","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","45.8","Coming in 2014","25.6","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"043968","Fairborn City                                               ","149088","Fairborn Digital Academy                                    ","FY03","Greene                        ","Conversion                                                                                                                                                                                                                                                     ","Virtual School","Dropout Recovery 1 & 2","0.22035319622504082","0.582466792135615","NR","NR","42.6","Coming in 2014","50.6","Coming in 2014","25.6","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","64.3","Coming in 2014","57.6","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"043984","Findlay City                                                ","000402","Findlay Digital Academy                                     ","FY05","Hancock                       ","Conversion                                                                                                                                                                                                                                                     ","Virtual School","Dropout Recovery 1 & 2","0.16055824740133376","0.473185074750487","0.194227026131611","0.0","52.4","Coming in 2014","40.3","Coming in 2014","40.4","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","82.4","Coming in 2014","67.6","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"044156","Jackson City                                                ","007998","Center for Student Achievement                              ","FY06","Jackson                       ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1 & 2","NR","0.637936360827927","NR","0.0","25.0","Coming in 2014","22.5","Coming in 2014","20.0","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","NR","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"044198","Lakewood City                                               ","000942","Lakewood City Academy                                       ","FY06","Cuyahoga                      ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1 & 2","0.33885389877623345","0.724663758249643","NR","0.0","33.3","Coming in 2014","65.0","Coming in 2014","38.6","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","100.0","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"044206","Lancaster City                                              ","000426","Lancaster Fairfield Community School                        ","FY05","Fairfield                     ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1 & 2","NR","0.777956034864206","0.318128025679493","0.0","29.4","Coming in 2014","50.0","Coming in 2014","40.0","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","NR","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"044206","Lancaster City","142984","Lancaster Digital Academy                                   ","FY03","Fairfield                     ","Conversion                                                                                                                                                                                                                                                     ","Virtual School","Dropout Recovery 1","NR","0.811688556232765","0.177756539094754","0.0","33.3","Coming in 2014","44.7","Coming in 2014","36.7","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","8.2","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
